timestamp,src_ip,dst_ip,dst_port,protocol,bytes_sent,bytes_recv,duration_sec,packets,anomaly_score
2024-05-21 04:32:45,10.0.3.174,185.220.101.45,443,TCP,4553566747,1016,2997.88,636658,-0.3174036365206646
2024-05-07 02:28:18,10.0.3.75,143.109.217.176,8080,ICMP,4006296316,12306,3330.27,344980,-0.31057698618565366
2024-05-03 05:52:03,10.0.1.180,55.56.35.72,443,TCP,4626019978,28922,2749.17,489468,-0.30859670107291937
2024-05-10 05:42:02,10.0.2.73,185.220.101.45,53,TCP,4964770492,30659,2835.25,696949,-0.3080494267181034
2024-05-27 05:52:38,10.0.3.77,181.53.80.40,53,TCP,4921794252,22881,2306.58,812493,-0.30695598821742964
2024-05-26 03:40:51,10.0.1.54,194.165.16.89,8080,UDP,4419016764,27293,1854.9,688461,-0.3055718867783681
2024-05-17 04:39:05,10.0.1.254,38.168.189.92,80,UDP,4696305972,21229,383.65,1693674,-0.30491362823439894
2024-05-25 03:13:49,10.0.0.218,45.33.32.156,443,UDP,3628053485,19496,1451.84,2563437,-0.3047735450478761
2024-05-18 02:51:01,10.0.3.174,185.220.101.45,80,TCP,4630823475,10269,2625.81,1003103,-0.30422885651324316
2024-05-05 02:51:17,10.0.0.174,160.169.76.106,80,TCP,3595552733,7039,1604.9,584950,-0.30151093492163505
